stopid,stopname,lat,lon
10071583,"Rua Diomar Monteiro, 885",-21.6903793,-43.34134859
10070851,"Avenida Barão do Rio Branco, 3470",-21.7723829,-43.34686512
10071533,"Avenida Orlando Riani, 535",-21.67130564,-43.31365585
10070850,"Avenida Barão do Rio Branco, 2300",-21.76209017,-43.34955791
10069581,"Avenida Juiz de Fora, 29",-21.71720329,-43.35123551
10071523,"Rua Diomar Monteiro, 490",-21.67426319,-43.31913543
10074080,Rua Engenheiro Kurt Zoet,-21.67675591,-43.31973648
10070857,"Avenida Barão do Rio Branco, 4100",-21.77781832,-43.34546709
10071592,"Rua Diomar Monteiro, 357",-21.69066582,-43.34633958
10070858,"Avenida Barão do Rio Branco, 4318",-21.77986796,-43.34500617
10073376,"Rua Alencar Tristão, 15",-21.73914253,-43.36266126
10070271,Rua Engenheiro Kurt Zoet,-21.68049049,-43.32015991
10069558,"Avenida Juiz de Fora, 165",-21.6977747,-43.35687476
10071526,"Avenida Orlando Riani, 117",-21.67341495,-43.3176921
10069672,"Rua Doutor José Eutrópio, 320",-21.74151479,-43.36515849
10071513,"Avenida Orlando Riani, 925",-21.66909308,-43.30944699
10070785,"Avenida Barão do Rio Branco, 3820",-21.77546245,-43.34602082
10069580,"Avenida Juiz de Fora, 31",-21.71486015,-43.35223127
10071071,"Avenida Brasil, 5175",-21.74465752,-43.36229706
10071075,"Avenida Brasil, 3013",-21.74507495,-43.3558249
10071645,"Rua Diomar Monteiro, 61",-21.68772313,-43.33032768
10074467,"Rua Diomar Monteiro, 2900",-21.68265319,-43.3255654
10071722,"Avenida Orlando Riani, 2256",-21.66657448,-43.30459976
10073450,"Avenida Juiz de Fora, 450",-21.70900447,-43.35897129
10073790,"Rua Américo Lobo, 875",-21.74334132,-43.35482963
10071734,"Rua Diomar Monteiro, 3180",-21.68141174,-43.3237316
10071731,"Rua Antônio Alves de Morais, 239",-21.66571175,-43.29981232
10069619,"Avenida Rui Barbosa, 732",-21.74053924,-43.36300469
10070784,"Avenida Barão do Rio Branco, 4217",-21.77881544,-43.34496182
10073285,"Avenida Juiz de Fora, 460",-21.69563265,-43.35504728
10069560,"Avenida Juiz de Fora, 704",-21.69433719,-43.35310871
10073476,"Avenida Juiz de Fora, 1530",-21.72562408,-43.35143661
10071539,"Rua Aníbal Beligoli, 225",-21.66487312,-43.30350876
10071736,"Rua Diomar Monteiro, 640",-21.68363693,-43.32700193
10071666,"Rua Diomar Monteiro, 1260",-21.69143538,-43.33750822
10073429,"Avenida Juiz de Fora, 598",-21.7114037,-43.35316008
10071548,"Rua José Alberto de Castilho, 211",-21.66596603,-43.30261612
10073437,"Avenida Juiz de Fora, 28",-21.71717804,-43.35107136
10071665,"Rua Diomar Monteiro, 1520",-21.69133408,-43.33424997
10071092,"Avenida Barão do Rio Branco, 3375",-21.77146111,-43.34698063
10071663,"Rua Diomar Monteiro, 520",-21.69053459,-43.34493637
10071754,"Rua Diomar Monteiro, 6",-21.68004227,-43.32149506
10071757,"Avenida Orlando Riani, 300",-21.67350182,-43.31752396
10073224,"Avenida Juiz de Fora, 1100",-21.69168091,-43.35076523
10070786,"Avenida Barão do Rio Branco, 4505",-21.78193653,-43.34411645
10071659,"Rua Diomar Monteiro, 890",-21.69047165,-43.34128952
10073449,"Avenida Juiz de Fora, 1020 - Unipac",-21.70940991,-43.35755883
10071708,"Avenida Orlando Riani, 900",-21.66944812,-43.30975806
10071544,"Rua José Alberto de Castilho, 81",-21.6648922,-43.30292714
10071087,"Avenida Barão do Rio Branco, 2675",-21.76542656,-43.34854891
10073392,"Avenida Juiz de Fora, 550",-21.73034947,-43.35657319
10071711,"Avenida Orlando Riani, 700",-21.67048836,-43.31134796
10071755,"Avenida Orlando Riani, 250",-21.67270969,-43.31616795
10070863,"Avenida Barão do Rio Branco, 1225",-21.7499392,-43.35257764
10073372,"Rua Alencar Tristão, 70",-21.73893523,-43.36210686
10071750,"Rua Diomar Monteiro, 28",-21.67817307,-43.32070655
10071748,"Rua Diomar Monteiro, 580",-21.67604637,-43.32073593
10073421,"Rua Alencar Tristão, 410",-21.73676818,-43.35939754
10073269,"Avenida Juiz de Fora, 600 - SEST/SENAT",-21.70691109,-43.36009598
10073287,"Avenida Juiz de Fora, 220",-21.69758606,-43.35657537
10070781,"Avenida Barão do Rio Branco, 4965",-21.78312293,-43.34384369
10071724,"Rua José Alberto de Castilho, 650",-21.66582298,-43.29884851
10073454,"Avenida Juiz de Fora, 690",-21.72867707,-43.35640511
10071746,"Avenida Orlando Riani, 20",-21.67422031,-43.31876672
10073427,"Avenida Juiz de Fora, 380",-21.71464348,-43.35204315
10070910,"Avenida Barão do Rio Branco, 867",-21.74683461,-43.35335962
10070780,"Avenida Barão do Rio Branco, 5224",-21.78483289,-43.3422532
10071719,"Rua José Alberto de Castilho, 298",-21.66637802,-43.30201567
10071740,"Rua Diomar Monteiro, 521",-21.68486838,-43.32799372
10071096,"Avenida Barão do Rio Branco, 3105",-21.76898484,-43.34763123
10071712,"Rua José Alberto de Castilho, 524",-21.6667366,-43.2996788
10073264,Avenida Juiz de Fora,-21.70244248,-43.35836071
10071517,"Avenida Orlando Riani, 2020",-21.66838636,-43.30769599
10073478,"Avenida Juiz de Fora, 1060",-21.72729574,-43.35470116
10071597,"Rua Diomar Monteiro, 86",-21.69081533,-43.34914184
10071239,"Avenida Juiz de Fora, 696",-21.71048571,-43.35534722
10070787,"Avenida Barão do Rio Branco, 4373",-21.78062248,-43.34453201
10071716,"Rua José Alberto de Castilho, 444",-21.66666412,-43.30067444
10071657,"Rua Diomar Monteiro, 1060",-21.69054398,-43.33962858
10071680,"Rua Paracatu, 120",-21.73422432,-43.3577919
10069646,"Avenida Rui Barbosa, 440",-21.74286652,-43.36320877
10071090,"Avenida Barão do Rio Branco, 2037",-21.75986142,-43.3499918
10074620,"Rua Américo Lobo, 421",-21.74397659,-43.35931015
10071703,"Avenida Orlando Riani, 2200",-21.66701642,-43.30569435
10071104,"Avenida Barão do Rio Branco, 1655",-21.75646019,-43.35086823
10071744,"Rua Diomar Monteiro, 61",-21.68764822,-43.33008349
10071759,"Avenida Orlando Riani, 534",-21.67137337,-43.31337357
10071726,"Rua Antônio Alves de Morais, 87",-21.66601779,-43.30105603
10070180,"Rua Américo Lobo, 683",-21.74375375,-43.35666079
10071648,"Rua Diomar Monteiro, 380",-21.69078679,-43.34633255
10071241,"Rua José Alberto de Castilho, 218",-21.66597366,-43.30273438
10070852,"Avenida Barão do Rio Branco, 3801",-21.77488708,-43.34606141
10070855,"Avenida Barão do Rio Branco, 4476",-21.78153371,-43.34457066
10070782,"Avenida Presidente João Goulart, 300 - Carrefour",-21.7843023,-43.33953537
10070783,"Avenida Presidente João Goulart, 600 - Estácio de Sá",-21.78340405,-43.33773998
10069559,"Avenida Juiz de Fora, 25",-21.6987544,-43.35749179
10070779,"Avenida Barão do Rio Branco, 5300",-21.78546364,-43.34175321
10129212,Rua H,-21.68017991,-43.31579889
10129210,Rua José Aureliano de Holanda,-21.68037329,-43.31863579
10129211,Rua José Abdo Hallack,-21.67975516,-43.31823882
10069564,"Avenida Juiz de Fora, 2320",-21.68121544,-43.34677655
10074663,"Avenida Juiz de Fora, 2025",-21.68404388,-43.3474617
10074648,"Avenida Juiz de Fora, 1743",-21.68663699,-43.3488192
10074661,"Avenida Juiz de Fora, 2325",-21.68121147,-43.34691316
10073999,Hospital Regional João Penido,-21.6792572,-43.34736758
10073144,Rua do Hospital,-21.67765045,-43.34552765
10074636,"Avenida Juiz de Fora, 1290",-21.69021225,-43.34917831
10074646,"Avenida Juiz de Fora, 1806",-21.68573056,-43.34824711
10074645,"Avenida Juiz de Fora, 1819 - Bahamas Mix",-21.68553467,-43.34836752
10074631,"Avenida Juiz de Fora, 1545",-21.68866325,-43.3492608
10074642,"Avenida Juiz de Fora, 2002",-21.68426867,-43.34736264
10074634,"Avenida Juiz de Fora, 1510",-21.68837776,-43.34912572
10073838,"Avenida Juiz de Fora, 3895",-21.67156835,-43.33792114
10073800,MG-353 norte - Ponto Final da Linha 101,-21.6634612,-43.3343782
10073397,"Rua Josué de Queirós, 411",-21.74039121,-43.36422265
10073395,"Rua Custódio Tristão, 150",-21.74193998,-43.3647242
10073831,"Avenida Juiz de Fora, 2667",-21.67806639,-43.3447383
10073824,"Avenida Juiz de Fora, 3701",-21.67275147,-43.33882881
10073815,"Avenida Getúlio Vargas, 511",-21.7598877,-43.34699631
10073836,MG-353 sul,-21.6687851,-43.33634186
10129219,MG-353 sul,-21.66110272,-43.33402178
10070903,"Avenida Francisco Bernardino, 162",-21.75967216,-43.34353638
10073826,"Avenida Juiz de Fora, 3700",-21.67280266,-43.33863485
10073828,"Avenida Juiz de Fora, 2768",-21.67742348,-43.34341812
10129220,MG-353 norte,-21.66848869,-43.33603612
10073892,"Avenida Francisco Bernardino, 648",-21.75461006,-43.34975433
10073840,"Avenida Juiz de Fora, 3840",-21.67173646,-43.33778036
10073011,"Rua Oliveiro Pires de Carvalho, 381",-21.70387853,-43.33796763
10072921,"Rua Detetive Agapito Marques, 395",-21.70362104,-43.33597792
10073063,"Rua Oliveiro Pires de Carvalho, 21",-21.70331598,-43.34930539
10073009,"Rua Oliveiro Pires de Carvalho, 191",-21.70439911,-43.34161377
10073005,"Rua Oliveiro Pires de Carvalho, 1537",-21.70388603,-43.34371185
10073007,"Rua Oliveiro Pires de Carvalho, 19",-21.70422272,-43.33966291
10072918,"Rua Detetive Agapito Marques, 455 - Ponto Final do Recanto dos Lagos",-21.70393622,-43.33500451
10073006,"Rua Oliveiro Pires de Carvalho, 81",-21.70343325,-43.34541857
10072605,"Avenida Barão do Rio Branco, 232",-21.74127565,-43.35501661
10069569,"Rua Maria Guilhermina Rebelo, 55",-21.66835218,-43.3349438
10072571,"Avenida Barão do Rio Branco, 510",-21.74372606,-43.35439063
10073852,"Rua Maria Guilhermina Rebelo, 1225 - Ponto Final da Linha 102 no Loteamento Guarujá",-21.66638083,-43.32483399
10072574,"Avenida Barão do Rio Branco, 346",-21.74233398,-43.35476172
10129227,"Rua Maria Guilhermina Rebelo, 35",-21.66853384,-43.33590003
10129226,"Rua Maria Guilhermina Rebelo, 895",-21.66774427,-43.32821926
10072598,"Avenida Barão do Rio Branco, 4",-21.73414213,-43.35685992
10073123,"Rua Maria Guilhermina Rebelo, 425",-21.66837692,-43.33194113
10073126,"Rua Maria Guilhermina Rebelo, 60",-21.66844368,-43.33468246
10073859,"Rua Maria Guilhermina Rebelo, 420",-21.66850853,-43.33214569
10072596,"Avenida Barão do Rio Branco, 11",-21.73390055,-43.35672099
10073860,"Rua Maria Guilhermina Rebelo, 30",-21.66863823,-43.33589935
10072603,"Avenida Barão do Rio Branco, 227",-21.74128772,-43.35471826
10072607,"Avenida Barão do Rio Branco, 229",-21.73490181,-43.35644674
10073856,"Rua Maria Guilhermina Rebelo, 900",-21.66776089,-43.32806349
10071573,"Rua Manoel Teixeira Salgado, 272 - Ponto Final da Linha 103",-21.66859671,-43.29720117
10071554,"Rua Antonio Lanna Sette, 15",-21.66785254,-43.29626083
10071567,"Avenida Orlando Riani, 2375",-21.66743469,-43.29777908
10071500,"Avenida Orlando Riani, 2311",-21.667202,-43.30092097
10071562,"Avenida Orlando Riani, 2259",-21.66652896,-43.30294108
10071504,"Avenida Orlando Riani, 2895",-21.66738319,-43.29959106
10071551,"Rua Manoel Teixeira Salgado, 92",-21.66825745,-43.29869997
10071498,"Avenida Orlando Riani, 2260",-21.66666378,-43.30300498
10071558,"Avenida Orlando Riani, 2310",-21.66730881,-43.30099487
10072369,Via Florida,-21.66961809,-43.29397166
10072370,Via Florida,-21.67136761,-43.29374075
10072371,Via Florida,-21.67142253,-43.29385316
10072365,Via Florida,-21.6735767,-43.2928946
10072368,Via Florida,-21.66981697,-43.29402435
10129230,"Avenida Orlando Riani, 2930",-21.66776363,-43.29596006
10070900,"Avenida Francisco Bernardino, 582",-21.75488663,-43.34937286
10129229,"Avenida Orlando Riani, 3446",-21.66754428,-43.29768741
10129228,"Avenida Orlando Riani, 3036",-21.66750938,-43.29925382
10073183,"Rua Avelino Jacob da Silva, 442 - Ponto Final da Linha 104",-21.71222102,-43.36801062
10070020,"Rua Ibitiguaia, 336",-21.78500136,-43.34655488
10072513,"Rua Braz Antônio Falco, 316",-21.79077636,-43.35067832
10072503,"Rua Humberto Berzoini, 343",-21.7882311,-43.34978867
10072523,"Rua Cônego José Maria d’Assunção, 30",-21.7871685,-43.34709776
10069979,"Rua Dom Silvério, 80",-21.77807426,-43.34640884
10072463,"Rua Orlanda Fortini Arcuri, 69 - Ponto Final do Santa Luzia",-21.78891897,-43.34716424
10070036,"Rua Dom Silvério, 366",-21.78074444,-43.34669999
10072455,"Rua Avelino Jacob da Silva, 685",-21.71175957,-43.36716843
10072586,"Rua João Rosa de Araújo, 185",-21.71065486,-43.36102108
10072508,"Rua Braz Antônio Falco, 193",-21.78984933,-43.35194016
10073107,"Rua Avelino Jacob da Silva, 421",-21.71046755,-43.36540985
10072428,"Rua Humberto Berzoini, 264",-21.78769626,-43.34907913
10072417,"Rua Humberto Berzoini, 235",-21.78773117,-43.34887695
10072405,"Rua Humberto Berzoini, 167",-21.78705215,-43.34777832
10072497,"Rua Braz Antônio Falco, 144",-21.78946908,-43.35151672
10073191,"Rua Avelino Jacob da Silva, 385",-21.71078873,-43.36663437
10073154,"Rua Avelino Jacob da Silva, 145",-21.71064097,-43.36363334
10072500,"Rua Humberto Berzoini, 346",-21.78810194,-43.34980928
10070046,"Rua Chácara, 50",-21.78324127,-43.34664536
10072416,"Rua Humberto Berzoini, 164",-21.78695472,-43.3478443
10073148,"Rua Avelino Jacob da Silva, 19",-21.71103775,-43.36217606
10072516,"Rua Braz Antônio Falco, 151",-21.78953552,-43.35143024
10072472,"Rua Osvaldo Freitas Ferreira, 175",-21.7885195,-43.34667429
10072494,"Rua Braz Antônio Falco, 43",-21.78912914,-43.35029435
10072579,"Rua João Rosa de Araújo, 15",-21.70938415,-43.35936201
10072401,"Rua Humberto Berzoini, 46",-21.78642082,-43.34693909
10072475,"Rua Francisco Altomar, 95",-21.78918076,-43.35212791
10071896,"Rua Ibitiguaia, 603",-21.78651237,-43.34840775
10073194,"Rua Avelino Jacob da Silva, 420",-21.71040981,-43.36541003
10073082,"Rua Otacílio Esteves da Silva, 574",-21.71142457,-43.36213742
10073093,"Rua Otacílio Esteves da Silva, 641 - Ponto Final da Linha 108",-21.71545029,-43.36432266
10071216,"Avenida Santa Luzia, 93",-21.78607898,-43.34671504
10073075,"Rua Otacílio Esteves da Silva, 57",-21.71440822,-43.36494677
10071884,"Rua Ibitiguaia, 795",-21.78740311,-43.3499527
10071871,"Rua Chácara, 243",-21.78461829,-43.34532643
10072588,"Rua João Rosa de Araújo, 160",-21.7104401,-43.36081458
10069985,"Rua Belmiro Braga, 31",-21.77800793,-43.34556878
10072506,"Rua Osvaldo Freitas Ferreira, 228",-21.78879235,-43.34658396
10072577,"Rua João Rosa de Araújo, 30",-21.70947612,-43.35954373
10071321,"Rua Ibitiguaia, 1095",-21.78905869,-43.35268021
10070032,"Rua Barão de Aquino, 11",-21.78008812,-43.34602476
10070045,"Rua Dom Silvério, 525",-21.78225517,-43.34675431
10129231,"Rua Otacílio Esteves da Silva, 70",-21.71215661,-43.36249989
10069946,"Rua Água Limpa, 197",-21.78607728,-43.34484547
10072476,"Rua Francisco Altomar, 245",-21.78826936,-43.35078049
10073151,"Rua Avelino Jacob da Silva, 344",-21.71053265,-43.36350071
10072469,"Rua Cônego José Maria d’Assunção, 227",-21.78851854,-43.34614101
10071886,"Rua Ibitiguaia, 1017",-21.78857803,-43.35198593
10073086,"Rua Avelino Jacob da Silva, 20",-21.71085669,-43.36218554
10072528,"Rua Cônego José Maria d’Assunção, 35",-21.78715293,-43.34694612
10073187,"Rua Avelino Jacob da Silva, 384",-21.71066398,-43.36668188
10071361,"Rua Otacílio Esteves da Silva, 98",-21.71312596,-43.36356501
10129235,"Rua Monte Líbano, 365",-21.71865322,-43.35333919
10129234,"Rua Monte Líbano, 715",-21.71805767,-43.35190631
10129236,"Rua Monte Líbano, 453",-21.71859341,-43.35435967
10074640,"Rua José Marcelino Teixeira, 195 - Ponto Final da Linha 105",-21.66143722,-43.3059535
10073090,"Rua Aurora Tristão, 1200 - Ponto Final das Linhas 134 e 136",-21.72073534,-43.35696816
10072833,"Rua Aurora Tristão, 968",-21.7198802,-43.35584569
10074668,"Rua Vereador José Joaquim Sobreira, 555",-21.66033821,-43.30752646
10071854,"Rua Vereador José Joaquim Sobreira, 435",-21.66186494,-43.30682778
10074608,"Rua Vereador José Joaquim Sobreira, 205",-21.66429329,-43.30625188
10129238,"Rua José Libânio Rodrigues, 303",-21.72252343,-43.3531826
10072850,"Praça Artur Bernardes, 241",-21.7221234,-43.3554899
10074675,"Rua João Carlos da Fonseca, 135",-21.66065289,-43.30575215
10129240,"Rua José Libânio Rodrigues, 115",-21.72310151,-43.35122353
10129237,"Rua Antônio Tristão, 255",-21.71921885,-43.35532527
10074670,"Rua Vereador José Joaquim Sobreira, 325",-21.66296782,-43.30663633
10129241,"Rua Aníbal dos Santos, 141",-21.72350517,-43.3505959
10074676,"Rua João Carlos da Fonseca, 55",-21.65967751,-43.30597246
10129233,"Rua Vereador José Joaquim Sobreira, 115",-21.66562832,-43.30558717
10129239,"Rua José Libânio Rodrigues, 173",-21.72283739,-43.35213117
10074673,"Rua Vereador José Joaquim Sobreira, 372",-21.662963,-43.3064574
10129246,"Rua Emília Augusta da Fonseca, 248",-21.66037657,-43.30508847
10074357,"Rua Vereador José Joaquim Sobreira, 94",-21.66559483,-43.30543363
10129243,"Rua Vereador José Joaquim Sobreira, 544",-21.6603907,-43.30735603
10071856,"Rua João Carlos da Fonseca, 220",-21.66162682,-43.30544424
10074674,"Rua Firmino de Jesus Souza, 15",-21.66179466,-43.30505371
10074680,"Rua Emília Augusta da Fonseca, 393",-21.65880612,-43.30566121
10129242,"Rua Vereador José Joaquim Sobreira, 444",-21.66183154,-43.30668011
10129245,"Rua João Carlos da Fonseca, 140",-21.66069374,-43.30587704
10129244,"Rua João Carlos da Fonseca, 60",-21.65976642,-43.30605943
10074683,"Rua Emília Augusta da Fonseca, 243",-21.66039276,-43.30522489
10074356,"Rua Vereador José Joaquim Sobreira, 234",-21.66423988,-43.30606079
10069919,"Avenida Darcy Vargas, 311",-21.79202483,-43.35176886
10071114,"Rua dos Imigrantes Italianos, 215",-21.68871923,-43.35822213
10069909,"Avenida Darcy Vargas, 105",-21.79057801,-43.35295266
10071117,"Rua dos Imigrantes Italianos, 295",-21.68858528,-43.35924149
10073211,"Rua Monte Líbano, 500",-21.71871758,-43.35323918
10074391,"Rua Engenheiro José Márcio Paschoalino, 87",-21.80182427,-43.35990704
10074282,"Rua Doutor José Lanziotti, 107",-21.79907502,-43.36193287
10070979,"Rua Manoel José de Paula, 88",-21.68425179,-43.35498417
10074317,"Rua Doutor José Lanziotti, 294",-21.80317497,-43.36227417
10073188,"Rua Monte Líbano, 448",-21.71871229,-43.35437
10074314,"Rua Doutor José Lanziotti, 545",-21.80171268,-43.36231899
10071097,"Rua Gabriel Gonçalves da Silva, 780",-21.68502747,-43.35930776
10073214,"Rua Monte Líbano, 720",-21.71814177,-43.35192481
10074299,"Avenida Pedro Afonso Pinheiro, 712 - Ponto Final da Linha 106",-21.79853875,-43.35998078
10074308,"Avenida Pedro Afonso Pinheiro, 353",-21.80105563,-43.35894883
10072622,"Rua Bady Geara, 675",-21.79652034,-43.35386306
10071037,"Rua Doutor José de Castro Azevedo, 4",-21.68818535,-43.35442972
10071058,"Rua Doutor José de Castro Azevedo, 310",-21.68648109,-43.35734188
10071050,"Rua dos Imigrantes Italianos, 33",-21.68816492,-43.35741341
10069878,"Avenida Darcy Vargas, 583",-21.79390929,-43.35026687
10071013,"Rua Deputado Arlindo Zanini, 122",-21.69008699,-43.35092908
10071022,"Rua Vagner Giancoli, 2",-21.68669487,-43.3533691
10071066,"Rua Doutor José de Castro Azevedo, 140",-21.68740229,-43.35505295
10074365,"Rua José Tavares, 247",-21.80322456,-43.36057615
10074281,"Avenida Pedro Afonso Pinheiro, 776",-21.79685111,-43.36061341
10072847,"Rua Sabino Francisco de Barros, 570",-21.72315979,-43.35596848
10071119,"Rua dos Imigrantes Italianos, 385",-21.6882,-43.36027527
10074924,"Avenida Pedro Afonso Pinheiro, 147",-21.800173,-43.35664701
10071093,"Rua Gabriel Gonçalves da Silva, 781 - Ponto Final do Parque Independência",-21.68515485,-43.35929936
10071100,"Rua dos Imigrantes Italianos, 505",-21.68732071,-43.36038589
10074310,"Rua Doutor José Lanziotti, 16",-21.80001673,-43.36206448
10071002,"Rua Manoel José de Paula, 822",-21.68502426,-43.35683894
10071062,"Rua Doutor José de Castro Azevedo, 210",-21.6868988,-43.35626138
10129225,"Rua Deputado Arlindo Zanini, 10",-21.69047647,-43.35010214
10071083,"Rua Gabriel Gonçalves da Silva, 466",-21.68552918,-43.35795982
10071085,"Rua Doutor José de Castro Azevedo, 420",-21.68579865,-43.35852313
10071103,"Rua dos Imigrantes Italianos, 595",-21.68648925,-43.36004329
10071029,"Rua Deputado Arlindo Zanini, 350",-21.68371414,-43.35422305
10074919,"Avenida Pedro Afonso Pinheiro, 26",-21.79980647,-43.35528854
11939615,"Rua Aurora Tristão, 1155",-21.72065846,-43.35679057
10072998,"Rua Sargento Cunha, 304",-21.72523615,-43.35548139
10071046,"Rua Belozzi, 51",-21.6886673,-43.35663879
10072636,"Rua Bady Geara, 897",-21.79833221,-43.35451889
11939616,"Rua Aurora Tristão, 985",-21.71999067,-43.35583571
10074283,Rua Doutor José Lanziotti,-21.79714871,-43.36125582
10074360,"Rua José Tavares, 179",-21.80266788,-43.36004245
10071041,"Rua Zezé Falci Lopes, 14",-21.68877983,-43.35545731
10071026,"Rua Gabriel Gonçalves da Silva, 22",-21.6872676,-43.35290811
10073002,"Rua Sargento Cunha, 70",-21.72703934,-43.35626375
10070991,"Rua Manoel José de Paula, 410",-21.68555814,-43.35529173
10069585,"Rua Bady Geara, 161",-21.79479418,-43.35037875
10073184,"Rua Antônio Tristão, 244",-21.71920949,-43.35518342
10071020,"Rua Deputado Arlindo Zanini, 156",-21.68496717,-43.35310745
10074302,"Avenida Pedro Afonso Pinheiro, 754",-21.79739529,-43.36050987
10072655,"Rua Bady Geara, 345",-21.795585,-43.35223842
10069557,"Rua Bady Geara, 146",-21.79457092,-43.35038757
10070904,"Rua Gabriel Gonçalves da Silva, 117",-21.68690527,-43.35464515
10070897,"Rua Gabriel Gonçalves da Silva, 29",-21.68732633,-43.35345693
10074372,"Rua Doutor José Lanziotti, 297",-21.80309867,-43.36217427
10070017,"Rua Ibitiguaia, 568",-21.78616333,-43.34838486
10069906,"Avenida Darcy Vargas, 116",-21.7906349,-43.35303086
10071076,"Rua Gabriel Gonçalves da Silva, 245",-21.68644964,-43.3558693
10070028,"Rua Ibitiguaia, 794",-21.78708839,-43.35007477
10074922,"Avenida Pedro Afonso Pinheiro, 140",-21.80013052,-43.35679586
10074363,"Rua José Tavares, 250",-21.80322754,-43.36074596
10074301,"Rua Engenheiro José Márcio Paschoalino, 820",-21.80080986,-43.36076725
10071970,"Rua Deputado Arlindo Zanini, 125",-21.69014752,-43.35104305
10071010,"Rua Deputado Arlindo Zanini, 2",-21.68776282,-43.35230562
10074296,"Rua Engenheiro José Márcio Paschoalino, 714",-21.80169678,-43.36138153
10074382,"Avenida Pedro Afonso Pinheiro, 350",-21.80095277,-43.35887373
10071005,"Rua Gabriel Gonçalves da Silva, 515",-21.68540012,-43.35855208
10074288,"Avenida Pedro Afonso Pinheiro, 500",-21.80009354,-43.35975647
10074920,"Avenida Pedro Afonso Pinheiro, 264",-21.80079101,-43.35807598
10072627,"Rua Bady Geara, 358",-21.79547057,-43.3522625
10069898,"Rua Ibitiguaia, 1212",-21.78936468,-43.35347187
10071080,"Rua Gabriel Gonçalves da Silva, 411",-21.68588911,-43.35726854
10069917,"Avenida Darcy Vargas, 536",-21.79367975,-43.35064351
10069904,"Avenida Darcy Vargas, 302",-21.79198508,-43.352
10074373,"Rua Doutor José Lanziotti, 250",-21.80233956,-43.3623484
